idempresa,flag_salesforce,provincia_principal,ciudad_principal,region
102538075,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
102478281,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
102484062,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
102187355,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
102536646,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
102422291,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
102503848,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
51305176,true,Edo. de México,Cuautitlán Izcalli,I24_MX          Lista #01           MXN
50776928,true,Ciudad de México,Tlalpan,I24_MX          Lista #01           MXN
51163886,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
51342378,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50886419,true,Edo. de México,Cuauhtémoc,I24_MX          Lista #01           MXN
102480593,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
51064098,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
102496290,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50896893,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
629254,true,Edo. de México,Tizayuca,I24_MX          Lista #01           MXN
102540369,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
102434292,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
566223,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50982193,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
102512868,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51080876,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
50962538,true,Edo. de México,Atizapán de Zaragoza,I24_MX          Lista #01           MXN
51317781,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
102535112,true,Jalisco,Tlajomulco de Zúñiga,I24_MX          Lista #01           MXN
102509495,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
51262622,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
102535682,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
51272090,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
102508271,true,Ciudad de México,La Magdalena Contreras,I24_MX          Lista #01           MXN
50706143,true,Ciudad de México,Iztapalapa,I24_MX          Lista #01           MXN
102498937,true,Ciudad de México,Cuajimalpa de Morelos,I24_MX          Lista #01           MXN
566781,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50915561,true,Ciudad de México,Gustavo A. Madero,I24_MX          Lista #01           MXN
51136604,true,Ciudad de México,Iztapalapa,I24_MX          Lista #01           MXN
50809824,true,Ciudad de México,Coyoacán,I24_MX          Lista #01           MXN
102323785,true,Edo. de México,Metepec,I24_MX          Lista #01           MXN
50843961,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
102433018,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
102513336,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51393590,true,Ciudad de México,Coyoacán,I24_MX          Lista #01           MXN
102513000,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
102419373,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
102531189,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50722099,true,Ciudad de México,Jiutepec,I24_MX          Lista #01           MXN
102510723,true,Edo. de México,Ecatepec de Morelos,I24_MX          Lista #01           MXN
102540810,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
102534634,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
102536454,true,Querétaro,San Juan del Río,I24_MX          Lista #02           MXN
102420909,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51371695,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
51228638,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
51134026,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
102515404,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
51340436,true,Querétaro,El Marqués,I24_MX          Lista #02           MXN
50931951,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
102326515,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
102532050,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
102327253,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
50735947,true,Jalisco,Mazamitla,I24_MX          Lista #02           MXN
51271107,true,Querétaro,El Marqués,I24_MX          Lista #02           MXN
51312363,true,Querétaro,El Marqués,I24_MX          Lista #02           MXN
102290119,true,Nuevo León,García,I24_MX          Lista #02           MXN
102417425,true,Nuevo León,Apodaca,I24_MX          Lista #02           MXN
51345881,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
102466155,true,Nuevo León,Monterrey,I24_MX          Lista #02           MXN
102537661,true,Nuevo León,San Pedro Garza García,I24_MX          Lista #02           MXN
50966010,true,Quintana Roo,Cancún,I24_MX          Lista #03           MXN
102186549,true,Morelos,Temixco,I24_MX          Lista #03           MXN
102452740,true,Oaxaca,Oaxaca de Juárez,I24_MX          Lista #03           MXN
102303517,true,Hidalgo,Pachuca,I24_MX          Lista #03           MXN
102200350,true,Quintana Roo,Tulum,I24_MX          Lista #03           MXN
50859034,true,Morelos,Cuernavaca,I24_MX          Lista #03           MXN
102185932,true,Morelos,Ayala,I24_MX          Lista #03           MXN
102331001,true,Quintana Roo,Chetumal,I24_MX          Lista #03           MXN
51193593,true,Quintana Roo,Benito Juárez,I24_MX          Lista #03           MXN
628775,true,Aguascalientes,Aguascalientes,I24_MX          Lista #03           MXN
102304319,true,Morelos,Cuernavaca,I24_MX          Lista #03           MXN
102444994,true,Quintana Roo,Solidaridad,I24_MX          Lista #03           MXN
50812547,true,Morelos,Cuernavaca,I24_MX          Lista #03           MXN
50951655,true,Coahuila,Saltillo,I24_MX          Lista #03           MXN
50719219,true,Baja California Norte,Ensenada,I24_MX          Lista #03           MXN
51065093,true,Baja California Norte,Tijuana,I24_MX          Lista #03           MXN
102543356,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
102513214,true,Sinaloa,Mazatlán,I24_MX          Lista #03           MXN
102529991,true,Quintana Roo,Tulum,I24_MX          Lista #03           MXN
102274801,true,Quintana Roo,Cancún,I24_MX          Lista #03           MXN
51157419,true,Yucatán,Miguel Hidalgo,I24_MX          Lista #03           MXN
102514440,true,Campeche,Campeche,I24_MX          Lista #03           MXN
570976,true,Sonora,Hermosillo,I24_MX          Lista #03           MXN
102330174,true,Quintana Roo,Puerto Morelos,I24_MX          Lista #03           MXN
50728629,true,Morelos,Cuernavaca,I24_MX          Lista #03           MXN
51188297,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
50783234,true,Veracruz,Veracruz,I24_MX          Lista #03           MXN
102510059,true,Nayarit,Tepic,I24_MX          Lista #03           MXN
50401739,true,Coahuila,Saltillo,I24_MX          Lista #03           MXN
51239785,true,Aguascalientes,Aguascalientes,I24_MX          Lista #03           MXN
51332287,true,Durango,Durango,I24_MX          Lista #03           MXN
102481522,true,Quintana Roo,Solidaridad,I24_MX          Lista #03           MXN
50736691,true,Puebla,San Pedro Cholula,I24_MX          Lista #03           MXN
51023748,true,Tlaxcala,Huamantla,I24_MX          Lista #03           MXN
50864175,true,Quintana Roo,Iztapalapa,I24_MX          Lista #03           MXN
568367,true,Tabasco,Centro,I24_MX          Lista #03           MXN
51163980,true,Quintana Roo,Tulum,I24_MX          Lista #03           MXN
50975755,true,Hidalgo,Tizayuca,I24_MX          Lista #03           MXN
102397840,true,Quintana Roo,Lázaro Cárdenas,I24_MX          Lista #03           MXN
102295165,true,Michoacán,Uruapan,I24_MX          Lista #03           MXN
102410390,true,Morelos,Yautepec,I24_MX          Lista #03           MXN
102426219,true,Puebla,Puebla,I24_MX          Lista #03           MXN
50960012,true,Oaxaca,San Juan Bautista Tuxtepec,I24_MX          Lista #03           MXN
102511403,true,Nayarit,Bahía de Banderas,I24_MX          Lista #03           MXN
102298783,true,Veracruz,Veracruz,I24_MX          Lista #03           MXN
102488790,true,Yucatán,Telchac Pueblo,I24_MX          Lista #03           MXN
102184369,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
51163170,true,Quintana Roo,Cancún,I24_MX          Lista #03           MXN
51043358,true,Hidalgo,Pachuca,I24_MX          Lista #03           MXN
102170266,true,Veracruz,Alvarado,I24_MX          Lista #03           MXN
51055736,true,Baja California Norte,Tijuana,I24_MX          Lista #03           MXN
51257624,true,Puebla,Amozoc,I24_MX          Lista #03           MXN
51294233,true,San luis Potosí,Mexquitic de Carmona,I24_MX          Lista #03           MXN
102449468,true,Yucatán,Mérida,I24_MX          Lista #03           MXN
51174012,true,Guanajuato,León,I24_MX          Lista #04           MXN
102515266,true,Guanajuato,Celaya,I24_MX          Lista #04           MXN
51165375,true,Guanajuato,Irapuato,I24_MX          Lista #04           MXN
102501344,true,Guanajuato,León,I24_MX          Lista #04           MXN
102237270,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50807661,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50853830,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
51188175,true,Ciudad de México,Gustavo A. Madero,I24_MX          Lista #01           MXN
50614191,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
102322070,true,Edo. de México,Metepec,I24_MX          Lista #01           MXN
102443916,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
50822282,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
50927909,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51030726,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
51020834,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
102481860,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
50415793,true,Ciudad de México,Tlalpan,I24_MX          Lista #01           MXN
51241436,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
102538737,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
50946174,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
102548174,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
51344518,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51085328,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50768098,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
51006058,true,Jalisco,Tlajomulco de Zúñiga,I24_MX          Lista #01           MXN
50557622,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50535393,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
102199573,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
102372278,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
102235578,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50770231,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
50990385,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
102489188,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
50874820,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
102178351,true,Ciudad de México,Alvaro Obregón,I24_MX          Lista #01           MXN
102458819,true,Ciudad de México,Iztacalco,I24_MX          Lista #01           MXN
